Address,Balance
0xF977814e90dA44bFA03b6295A0616a897441aceC,13670154878880000000000
0x859Eefc267671595d987D0F6589D7771D4877113,4.5164023157829576e+21
0x28C6c06298d514Db089934071355E5743bf21d60,2521235467999003161008
0xc2EdaD668740f1aA35E4D8f227fB8E17dcA888Cd,2.4399070281761497e+21
0xee2826453A4Fd5AfeB7ceffeEF3fFA2320081268,2.3339430834326733e+21
0x3e677718f8665A40AC0AB044D8c008b55f277c98,1.717998967341796e+21
0x649e74B1CEbAfe73250b5bd1416DC3C9040680ac,1.2482433233801233e+21
0x30CE6f10a617fb8c66b93817aDce1379853A7b13,1184628538770000000000
0xF92660595bBf1C76071f262e186bd2182815c613,1.0814283176548084e+21
0x6cC5F688a315f3dC28A7781717a9A798a59fDA7b,1074778898153431919320
0x21a31Ee1afC51d94C2eFcCAa2092aD1028285549,782996899500000000000
0x1FC432eB5e873A12E909Da65ad9E14be05F1139B,6.889004563492926e+20
0xC564EE9f21Ed8A2d8E7e76c085740d5e4c5FaFbE,680112861817722803976
0xc698645B5C5b662B52a5A5C092804F23e3F5B4C5,632743881389125323174
0x1E5CE6F088fD0adb4fCFf31Cfb02A61503311bE9,5.666868475307544e+20
0x7DE2bF548eaAd49588eB334696d7C2d4443C0575,5.640031099254348e+20
0xD4C8127AF1dE3Ebf8AB7449aac0fd892b70f3b45,500000000000000000000
0x49f4f2Cd10FAfe584242A4C6a5471d1D22386c7E,462552577363250345598
0xB97f76b03E45f0749e1240513A68EFA27DeDF682,414183388125000000000
0xDFd5293D8e347dFe59E90eFd55b2956a1343963d,409983801040000000000
0xEb582ac7F2F1614aa5B7aBb216948429702D8d02,365567025720299951175
0xB67c245114883de1A3CC1B927977d02583f12289,356231100000000000000
0xE5f9E91beB38FAAE34a5FaC6bfFa5AA8333F4317,348150477814887093148
0x0D0707963952f2fBA59dD06f2b425ace40b492Fe,332098080351050638161
0xb92eCcb3AaD420237E2db6768554569a58c566e2,3.018570590753649e+20
0x1447b49b636cb1fA24281efCD66Aaac44188e3BC,2.7855127871e+20
0xCE9450F366bB61874f90484d05f30CC44c1d72dd,2.707413039e+20
0x3bbEc29ab82DB1F0bE3F67261CC902C4e35ab70D,2.533627097816613e+20
0x4d246bE90C2f36730bb853aD41d0a189061192d3,229217413141262319075
0x110623a05c6bA96c65EDA792d202D02cec9D5b31,221147024936119309277
0x44BdB19dB1Cd29D546597AF7dc0549e7f6F9E480,210334230196071313611
0x09788B321088953f180Bc41FD6107539820F8b03,207297090334216388966
0x88B6CaCe7C485db4a33f4dA78d10abCe5820467F,2.064578250459219e+20
0xcf7B50faf216415543eac5e4b646Cae7503ee845,189802616602847808421
0x49B8a0893B83A171D7d461198b69A0b1bb4dd0Ed,175000000000000008040
0xD373b2d5d61b96BA0ea0cF7B62E9BF9ea5B49d6F,1.703361386073724e+20
0x2991e9676643C81160889d32bAcf39969302E2ae,168873572231792740400
0xc0AA8046f860996B7B6d366b6d71391e70C74376,161467028419656362569
0x03eF251c38C8c235546D53bBE1f9894049f3e7B1,1.4882798406558096e+20
0xb9ee1e551f538A464E8F8C41E9904498505B49b0,148741734600000000000
0xDAeB0beFaa706C92fbd6897faa4CbB2e76E0F3b8,1.4730188823386456e+20
0x3C94063D8132B2c8C93Cd356a7A6502aB1b52c1D,144402682072722579330
0xba90E329ca05881E3B63b4D6F9840f57e235c493,139281593621157647953
0x953772e66510383Af51cCac5b7Cb59017CA2eDc2,137200130836831718865
0x191458D229EAFe1E246e4c28d346fCb10AcB12A3,126034532361242322222
0x960E018De0656Ae472527241b25145f0695e0EB0,123443747599101234254
0xF5BCE5077908a1b7370B9ae04AdC565EBd643966,123298717755036938782
0x75e89d5979E4f6Fba9F97c104c2F0AFB3F1dcB88,112111324905427026513
0x042990e37F70CE7F338c0bC66c9422d6F202AAFF,104808100000000000000
0xB75CDf900688e5CA2922BbBDbDAB106039A5120b,1.0221277874592358e+20
0x3F18bC51571Cc90Dd58C3d1D998AD098B5E02b77,101018635785020782214
0x924CD9b60F4173DCDd5254ddD38C4F9CAB68FE6b,100000000000000000000
0x4172b78A86695BbFabd4D319323aE0A696CF9f2A,100000000000000000000
0xFea556b5245445d0e2c8F660983b9Fa3DEf0C13e,100000000000000000000
0x111944C91955ae4c384D8Bf872362fe910C0b8bb,100000000000000000000
0x48766d191e4f0a0A4bB1514ab2c43C02b26e22d3,99951630000000000000
0x285D153589c8fe208C9F00cc966D7A1d32A9A655,99614000000000000000
0x40E5EBf13a622db7f0F3a00737906c39deCaab04,98874828025295149506
0xb1366C81103CCB8FdabcF362148861485FD514a0,98293800000000000000
0x0E85cd79566Ce8aE0E10667A98f5470861ce5c7B,97267920342944702464
0x76e8f2eeE8C15743C6Bac47c7069096EF8BE5C2E,95552345181281030471
0x68842CcD38fAc9A4f79606efFFcF9e8BAD7bd3e7,95198811847122460333
0x2f6CAe89Ae5B556C42ce433d00f1ba3ab6BAE9d6,93004271550000000000
0xf520a8757A17283E7d787CfC4c9BB64A8ECF1b61,92391417235420303743
0xEF56180E7aAB9dAF3471E670a573434F7FD32876,91868988663111905730
0x9Dc9234a8cF3Ef58016e1325EBfa9A8813914608,90906081100000000000
0xFC547D02d3cB9897f402b169A1E9578c5538C42a,90423970000000000000
0x02F62eff1A43Fbfa846866eb9cD95FE0DDF056C3,90393000000000000000
0x3d24D77bEC08549D7Ea86c4e9937204C11E153f1,90000000000000000000
0x5136cdc50923f524Ffbf032b1d0F6Bb658346668,90000000000000000000
0x92aeb3CE2b02D1256680F6A18755F8F62077f2fa,89707958000000000000
0x1861064E240C765adFA711F22598D3b40208F863,88845582238030250710
0xa87Dc2B9D3DC468B3F3974F6c438296B68679b12,84518433020000000000
0xB2c9D1E3EDf11379a51A5f27d762A4B7E29F6b64,84474369381245563431
0x0f77e3126c69c501f8669c65C666D8b5fb6FE612,83816600127749818554
0xc6fB06a1db9C90883A1b1b124dFF21143150730F,83193862526830457833
0x9b616Ac1D31F17Be9B23560d93699cA7732e2808,8.23345216955071e+19
0xF1AEcdb299266e09E046f43b5F7b9dC182797Fe9,82278033712862575691
0x67Eb51DBc0B52F061ad067245B6488F2fF9ffD2A,81211062915997160144
0x593065A46a507dC0Da5146020EfC1476067Aab8c,80202000000000000000
0x33EACcC4a368D4682Ad6768338603d64B559D91a,80000000000000000000
0x30Fb3D5Ab7A3Bf4F3186a3CB8481ab214Ca64f79,79799000000000000000
0x1dBa767B55B742D7e1A6A5e2c79e4A694416c063,78702623548130210324
0x195441a1eDb19f4159D915D1124473247FdcBf0E,78463063142602939948
0x2472F6C57AD97903d81741acDf462fa9d22C858F,77499727893777205309
0xb44a6B727FFEeDC78769db6AfA63Ddd3B68EF5B6,76449974566002213043
0xAAF201e9e60F40E9f2d47db67F3a7d1B4df06E4A,76247015106855116458
0x51B9E9d4CC5B510c01c1c89468AF5439BBB48086,74976972295111243058
0xDf49606466265F40EBAAe13A6B621c61742f4A6D,74598100000000000000
0x995882BA86c283FAC590739F94Aea679c5361492,73898000000000000000
0x5A8490DcCFE4feF824dF37B3E133d9c4537e9751,72996289777350429886
0x0E91CF9DD6A1C10e9f87EfF4165F280254069Af1,7.0649721005535764e+19
0x562680a4dC50ed2f14d75BF31f494cfE0b8D10a1,70503374697172754765
0xFA1F8518d3E6D69A04b88E96a9e3e7588D19cA0c,70320722522381476010
0x0b7a4B4EA44E33eDc14E811B6c680150ef48EfAb,70059000000000000000
0x87756c307dAad85dd1EcFd02039fF5E1355D5CA8,69150000000000000000
0x32e28e146c62541E2830d3BEd33946B37C2e57F0,68730000000000017700
0xdDecCc6394a0404A734037695A163AF1929a4095,68642300637983169859
0x0Afd5bA23A7efafE81c6e06345313044AF21e2B1,68069004956413886541
0xEaA3efF2908D015920D85213bd24F5C53011a514,67999380025553400809
0x0C538687f1408f42069420e7007dd7cdadEb0A22,66935518637946126237
0xEcac5bE17d673f2f42eABc7D55772f9A111b3865,66279411445678568747
0xbaB4455d5B361037e3Bb22F27C3C3FEF1f280fE7,64942708376845455991
0xB6251ADe4F18a2E9F9634d3b7dE2D86c7872222F,64331867660000000000
0x810d7EA0c44eAbDB9C75663CB1ce3b0ce4686Fd2,64289861132288154015
0x0e80faBC0ec324c735D53203b61e703a2FbD095F,64113713800000000000
0x933D145572E4E1c01605d6Ce6fF566B6A4f976f9,64051427312440164835
0x46b513dD578D7BBc1D86c45c9A6CC687C942704B,64035858811993032005
0x9AfC0E06752c2BC64B70cC1Cde90F698351a459E,64031000000000000000
0xA494C8bf3a9cF0d8a15048095f78fC1126a98801,63858880000000000000
0x25f065848D06211c6e7E430Ff00e58B493D3A120,63759654542932472451
0x68156ac1c955A1cED68fD2e7373dFdb2B5c42D39,62843342157271116249
0x70dF54813919D37EbC885539eCc1Fc3EF214d6E0,62732970090000000000
0x96E51B6D980BAd159D030ACF4Ae349585A6e7629,62169732495913844465
0xeaAD46dd85845FfF460EE002AE7a2B4Fa8e16B3c,62010000000000000000
0xd6Fd705EE0B31a9300D3E2154bccE777270CBb6f,6.161557987935588e+19
0xB19457A8e9360CD3c2747C3D7793AFD7e24D52ee,60538161600000000000
0x4593bF48786C391020Eb4818DdE2A0F9f6E24095,60396461553701161942
0x32f6CF5ed00dFBf134823E43fa5c3A4877D1FDcB,60000000000000000000
0x5E0A7d251721901C965C866d1557f59dEB77d9c4,59346200000000000000
